SNF2.1	SNF2.10	SNF2.11	SNF2.12	SNF2.13	SNF2.14	SNF2.15	SNF2.16	SNF2.17	SNF2.18	SNF2.19	SNF2.2	SNF2.20	SNF2.21	SNF2.22	SNF2.23	SNF2.24	SNF2.25	SNF2.26	SNF2.27	SNF2.28	SNF2.29	SNF2.3	SNF2.30	SNF2.31	SNF2.32	SNF2.33	SNF2.34	SNF2.35	SNF2.36	SNF2.37	SNF2.38	SNF2.39	SNF2.4	SNF2.40	SNF2.41	SNF2.42	SNF2.43	SNF2.44	SNF2.45	SNF2.46	SNF2.47	SNF2.48	SNF2.5	SNF2.6	SNF2.7	SNF2.8	SNF2.9	WT.1	WT.10	WT.11	WT.12	WT.13	WT.14	WT.15	WT.16	WT.17	WT.18	WT.19	WT.2	WT.20	WT.21	WT.22	WT.23	WT.24	WT.25	WT.26	WT.27	WT.28	WT.29	WT.3	WT.30	WT.31	WT.32	WT.33	WT.34	WT.35	WT.36	WT.37	WT.38	WT.39	WT.4	WT.40	WT.41	WT.42	WT.43	WT.44	WT.45	WT.46	WT.47	WT.48	WT.5	WT.6	WT.7	WT.8	WT.9
YNL091W	1439	949	1485	1187	2277	1483	1045	1401	1370	1222	973	1325	1541	1430	915	1152	1672	1130	1473	907	1129	1087	1221	1223	1071	1275	1715	1574	1386	1205	1214	1347	2402	1859	1454	1508	1040	1310	1430	1201	1263	1287	945	922	2705	1990	1079	1541	685	1032	702	1071	1088	1064	934	639	1037	1036	976	959	667	1856	2019	945	988	2109	1254	1293	1772	941	735	1333	1092	812	1088	674	915	809	1273	750	884	1117	1476	1405	997	725	832	1423	600	1569	933	925	1991	991	1139	955
YNL092W	118	80	111	92	174	96	101	102	134	109	74	148	95	100	100	119	150	82	135	72	109	125	123	77	70	162	129	90	147	96	89	98	176	130	100	121	84	157	130	105	106	101	113	98	179	160	74	112	57	51	56	47	52	106	66	30	107	68	67	41	57	165	84	45	61	100	68	60	94	46	61	130	56	63	44	73	41	50	65	69	32	101	114	62	56	82	58	59	49	70	68	33	78	60	80	62
YNL093W	71	33	74	43	97	58	53	54	69	39	43	85	54	55	52	48	70	52	89	24	66	66	64	48	38	78	58	62	83	56	36	66	97	90	46	61	48	86	58	51	61	32	56	61	164	93	35	71	37	19	31	24	32	69	39	12	67	24	63	22	32	72	26	17	16	33	33	23	30	19	15	100	14	46	23	19	23	18	26	34	20	66	56	20	21	71	40	20	14	30	59	17	40	38	32	19
YNL094W	675	603	766	531	1231	781	693	736	891	706	544	777	750	785	591	711	1043	793	752	611	672	639	755	552	586	750	993	647	808	768	675	719	1427	977	633	804	638	809	764	643	867	707	659	574	2262	1149	564	756	451	470	436	423	611	613	442	304	605	475	570	431	348	1085	847	469	430	817	572	572	736	394	382	885	467	389	460	394	412	371	545	388	411	650	816	569	429	403	525	645	308	651	503	442	960	487	575	427
YNL095C	191	117	139	115	167	131	120	179	147	134	121	163	147	145	132	132	195	123	161	112	135	131	150	112	109	159	158	127	131	129	141	118	213	166	127	145	122	149	151	108	149	183	124	105	145	171	127	176	93	150	96	143	147	186	106	85	162	130	156	160	121	142	221	133	148	209	124	166	210	149	117	191	175	97	179	111	122	132	126	104	112	173	203	190	110	123	124	211	94	232	176	154	282	148	131	149
YNL096C	1331	1530	1743	1238	458	1416	1027	1108	1472	1243	860	1284	1219	1748	1000	1543	2594	592	1137	1169	980	1152	1252	1145	704	1305	1902	1420	729	1174	1246	1336	2221	1600	1227	995	1004	1273	1139	1204	1697	1203	1206	979	317	1701	900	2018	787	1424	622	1480	1849	1214	1253	781	831	1346	1168	1355	759	545	1402	1535	1411	916	1379	1852	825	1236	952	1599	1453	868	1478	1369	1297	1431	1454	767	1262	1475	2010	2107	1412	996	782	1899	864	2251	1160	1393	2762	1582	1390	1066
YNL097C	686	408	658	520	781	679	606	700	669	640	555	600	739	598	468	514	818	833	812	487	563	525	600	492	674	713	957	629	563	754	623	582	1220	809	616	902	521	717	674	564	578	665	489	468	898	1086	598	573	342	489	477	459	544	474	366	388	448	450	589	396	328	645	678	446	445	785	551	581	646	479	319	600	506	341	540	403	377	406	709	415	374	568	685	555	405	351	531	706	269	755	439	453	859	478	632	553
YNL097C-B	49	27	45	37	77	39	35	34	46	45	38	43	34	44	31	39	35	41	49	29	23	42	25	40	28	54	51	47	52	32	41	46	75	47	35	48	25	40	39	24	45	49	30	31	61	63	32	57	5	20	11	23	10	17	18	6	19	20	20	12	4	35	25	10	12	28	17	19	23	11	10	30	22	5	25	3	18	10	13	6	14	15	19	26	16	9	12	23	15	21	9	22	38	14	10	8
YNL098C	2373	1548	2250	1742	1726	2178	2238	1993	2455	2040	1780	2225	2443	1877	1568	1540	2880	2626	2541	1391	1893	1884	1950	1695	2125	2416	2600	1987	1513	2267	1722	1879	3779	2688	2041	2857	1657	2253	2055	1774	1742	2018	1547	1722	3141	3092	2176	2047	1941	1921	2388	1876	2124	2699	2248	1395	2044	2065	2839	1866	1925	2570	2286	1760	1624	2138	2773	2149	2235	1846	1800	3389	1967	1997	2199	2257	1399	1704	3345	2413	1836	2921	3633	2193	2046	1872	2818	2809	1597	2968	2245	1759	3082	2105	3189	2483
YNL099C	424	233	304	260	381	320	218	329	350	253	259	269	276	331	233	250	393	284	301	208	252	270	239	259	232	350	383	318	316	258	255	253	516	378	303	299	215	308	316	262	268	328	253	257	369	457	248	321	142	246	194	244	290	341	212	171	294	223	241	299	208	352	502	234	261	383	267	306	405	253	220	382	252	198	311	253	189	226	234	224	218	324	390	261	227	220	197	352	166	368	240	245	426	258	292	251
YNL100W	705	407	562	421	609	599	479	563	614	500	426	529	547	499	417	407	751	555	675	330	453	570	435	412	472	589	640	479	439	470	415	453	813	629	479	705	348	563	581	485	479	588	458	431	522	718	547	541	188	285	327	295	343	445	270	220	336	294	398	378	287	434	589	286	327	440	357	331	434	354	282	409	308	266	377	335	239	345	361	277	254	459	470	311	301	304	282	356	241	433	346	286	521	317	368	334
YNL101W	565	322	377	359	474	521	266	504	449	444	354	362	390	449	334	418	569	282	506	283	324	376	385	331	277	434	599	374	360	289	449	279	754	570	324	457	290	403	531	353	436	503	362	299	409	705	345	446	168	330	173	229	339	351	222	159	300	295	267	314	175	262	514	299	331	365	303	340	369	282	269	399	322	148	343	191	279	194	212	143	202	359	396	368	233	205	173	360	211	431	286	300	565	296	272	247
YNL102W	225	239	277	202	225	291	160	243	285	235	174	234	243	303	179	233	400	155	255	227	177	200	244	222	176	264	367	292	173	215	280	204	442	306	225	263	196	223	222	185	292	265	192	176	311	391	175	279	121	228	93	207	235	196	161	126	120	185	134	177	113	186	313	260	175	243	205	240	248	198	119	289	249	112	186	115	224	139	176	115	179	172	255	243	166	113	133	328	114	318	136	207	428	234	192	151
YNL103W	817	466	684	490	1121	740	515	713	699	641	632	576	681	699	498	588	802	597	738	456	585	553	657	603	565	749	998	727	654	540	645	599	1224	906	695	767	513	653	705	574	676	717	556	505	1890	1182	636	748	287	396	304	375	420	468	315	250	439	383	463	385	302	799	725	362	400	815	406	452	680	380	293	701	433	290	389	203	326	242	436	324	350	464	607	457	360	339	352	559	265	604	368	373	769	393	438	374
YNL104C	3291	2079	2924	2022	1174	2940	2751	2681	2998	2445	2404	2611	2983	2673	1997	2232	4103	2877	3289	1824	2346	2279	2734	1964	2367	2775	3370	2465	1612	2625	2177	2446	4480	2937	2407	3213	2187	2809	2537	2150	2388	2564	2143	2103	877	3632	2684	2781	1719	1223	1693	1308	1395	2811	1862	836	1800	1433	2058	1114	1693	725	1162	1177	1088	646	2037	1303	691	1146	1527	3137	1237	1756	1334	1445	1025	935	2568	2048	1364	2464	3025	1178	1536	1754	2070	1684	1360	1824	1960	1037	2135	1521	2255	1406
YNL106C	367	277	290	253	583	407	198	318	313	324	223	291	304	344	224	279	460	223	318	236	258	306	291	279	212	334	411	309	296	232	322	235	553	435	314	371	261	325	357	266	361	301	275	245	973	541	275	367	167	268	150	210	257	304	201	128	239	241	195	233	151	460	468	271	216	438	224	306	493	221	200	307	290	156	207	123	200	148	192	174	195	249	312	281	214	172	168	308	173	315	219	189	423	245	231	204
YNL107W	179	121	135	122	299	172	78	169	141	125	111	115	126	145	84	118	197	69	154	104	109	136	111	114	82	162	228	149	139	90	150	110	237	186	157	119	102	161	176	120	150	189	128	90	389	221	114	154	48	109	71	83	134	129	71	61	98	102	108	99	61	220	263	115	134	244	99	144	260	123	91	160	127	67	126	107	100	117	52	56	67	113	139	153	76	84	48	128	76	154	81	100	224	102	80	94
YNL108C	217	221	216	195	187	266	132	238	247	204	194	159	212	244	155	194	370	139	224	164	173	160	207	216	163	207	330	256	145	176	225	192	363	264	191	175	154	205	232	189	214	253	228	144	226	300	164	240	129	220	120	233	242	221	153	96	187	205	192	216	116	235	324	221	216	286	215	275	255	210	141	263	216	127	252	295	178	246	197	112	161	217	246	257	208	149	147	263	124	281	174	208	452	223	218	171
YNL110C	225	251	250	210	244	309	139	315	251	267	199	205	284	323	165	263	399	114	199	217	154	197	201	303	147	233	538	356	215	210	307	195	434	292	254	203	183	234	241	239	299	323	253	154	255	337	168	360	142	447	140	380	463	268	227	220	220	325	224	464	142	196	760	447	485	558	288	554	534	434	231	398	454	148	465	353	369	457	236	125	335	324	382	637	348	182	133	553	146	624	223	506	986	383	247	260
YNL111C	169	107	125	116	121	134	121	163	160	122	133	130	131	126	105	97	214	125	144	97	104	110	115	113	122	132	184	149	101	116	109	127	232	165	124	168	104	139	121	141	130	165	114	112	105	189	125	151	76	151	92	162	158	132	122	130	99	124	118	161	88	104	270	150	195	209	127	184	221	167	100	142	151	98	233	172	132	171	118	77	124	135	141	214	128	88	86	257	79	235	123	218	321	159	127	157
YNL112W	1408	1659	1672	1214	1001	1673	1093	1737	1756	1319	1041	1157	1526	1858	1173	1325	2386	1381	1239	1425	1281	943	1422	1366	1444	1528	2449	1715	1036	1586	1524	1348	2446	1715	1272	1343	1121	1498	1380	1317	1752	1653	1317	841	1093	1721	1254	1855	1209	3092	1846	3159	3655	1638	1514	2546	1317	2522	1900	3153	1137	1640	3720	2986	3675	2982	2548	4539	2975	3369	1853	1414	3747	924	4664	2147	2925	3118	2892	1206	2634	2121	2469	4488	2370	753	1529	5125	1406	5110	1591	3814	6744	3489	2968	3253
YNL113W	238	230	244	193	264	241	176	279	251	203	182	164	223	266	179	216	333	143	226	176	171	187	183	214	157	249	385	306	224	171	238	187	378	265	231	218	152	233	222	240	255	256	249	173	349	287	221	275	125	373	137	359	345	265	195	198	205	266	252	349	163	362	589	341	435	575	240	434	499	368	174	364	398	158	471	344	236	394	244	142	228	254	286	421	235	165	128	459	152	516	211	415	691	298	210	288
YNL115C	744	531	634	499	1072	712	517	579	691	578	529	657	624	630	462	514	956	605	728	461	553	581	692	471	472	666	769	619	581	612	562	614	1127	854	562	648	503	630	603	586	671	590	532	499	1693	994	543	605	334	338	343	336	386	625	416	196	493	397	492	301	331	822	589	274	256	651	514	374	573	288	324	843	334	376	292	309	285	226	360	412	331	497	680	369	339	403	430	427	292	481	442	294	639	395	468	351
YNL116W	204	179	211	180	192	211	155	226	216	244	179	177	230	226	145	164	337	186	232	159	203	156	191	201	173	234	333	216	137	188	182	179	395	294	202	254	178	190	222	155	191	225	158	139	279	316	183	230	97	153	88	157	155	133	129	85	107	114	137	138	92	117	182	145	123	166	165	164	135	150	95	229	182	65	142	85	117	126	209	98	134	156	160	151	102	86	119	209	83	192	108	127	284	164	131	130
YNL117W	49	28	27	21	33	60	37	37	49	28	28	40	45	47	25	29	60	27	42	21	27	42	30	27	35	40	46	31	29	28	36	37	47	55	30	40	18	41	47	30	38	31	28	37	46	45	36	42	36	20	25	18	35	72	35	18	44	26	49	22	29	38	27	22	26	26	35	34	24	22	22	83	27	44	32	26	21	16	28	34	21	58	83	30	26	60	25	21	27	29	46	20	43	25	27	28
YNL118C	1228	831	950	821	1393	1224	596	1065	970	925	793	934	937	1039	647	996	1375	662	1107	748	796	984	945	931	601	1054	1473	1133	822	718	1048	882	1796	1393	1089	940	767	950	1117	798	1068	1098	836	689	2228	1707	711	1144	469	734	404	669	939	872	652	396	758	799	676	757	441	1345	1444	774	777	1290	808	882	1281	710	666	1074	765	509	737	461	687	433	645	474	541	902	1013	961	748	564	457	930	457	1009	652	765	1561	751	670	612
YNL119W	117	73	90	83	138	102	53	170	113	97	81	70	115	97	73	93	126	69	115	62	86	69	64	84	79	94	157	127	102	78	139	55	140	106	89	97	54	98	136	106	108	156	90	50	99	128	104	121	52	195	70	161	212	126	93	123	117	130	123	181	64	144	340	218	248	248	138	217	233	220	113	134	183	70	244	131	143	187	102	56	129	125	153	217	120	68	74	206	74	250	85	254	387	149	113	120
YNL121C	989	950	881	729	1270	1067	514	980	869	855	693	727	724	1100	664	837	1459	424	841	669	614	706	821	753	452	928	1319	1031	851	576	884	709	1408	1139	868	702	588	799	938	760	971	954	758	551	2153	1250	554	1120	448	922	436	841	1163	1062	704	494	1058	964	787	950	530	1827	1896	876	1011	1619	936	1051	1517	807	773	1287	1032	585	936	699	874	673	683	467	673	1043	1346	1132	934	718	473	1060	616	1258	700	901	1875	934	779	796
YNL122C	153	48	104	108	152	93	89	107	151	91	83	86	102	83	82	101	126	71	124	60	94	127	85	87	53	118	131	126	109	86	85	94	170	125	99	101	68	122	137	108	106	108	89	94	95	154	82	129	62	75	57	71	96	138	79	52	99	107	110	84	84	146	186	92	119	133	109	91	119	75	105	148	93	84	117	125	73	118	80	64	66	128	151	116	97	105	54	107	64	123	102	102	155	84	93	82
YNL123W	453	415	442	308	495	490	284	514	479	414	389	353	392	434	338	367	678	306	401	323	354	337	385	344	299	430	623	480	373	322	460	334	699	523	388	420	305	422	443	384	418	507	434	306	430	589	312	484	254	514	225	433	590	440	314	323	360	443	363	551	281	439	858	551	605	683	438	628	681	513	324	477	577	244	543	313	449	377	361	235	370	448	515	598	391	263	265	663	254	703	300	518	998	479	422	372
YNL124W	221	129	218	141	417	222	235	278	235	168	174	205	233	205	170	143	244	255	242	158	176	178	200	189	213	241	267	234	238	225	193	198	391	239	164	286	165	251	222	214	208	217	163	178	1033	277	194	261	137	191	138	223	244	165	149	167	180	177	212	228	127	388	559	233	272	620	176	298	468	324	136	268	302	116	292	94	159	164	261	136	219	197	206	271	186	128	183	374	101	323	163	283	472	240	201	258
YNL125C	686	346	523	426	807	547	420	596	626	551	450	541	531	446	387	396	571	557	661	309	435	510	461	400	420	553	691	499	493	395	483	416	914	645	452	692	323	530	595	351	445	564	370	373	905	804	495	480	248	289	258	273	281	415	243	183	321	235	339	299	220	534	522	269	275	504	346	285	486	318	255	421	320	210	310	224	256	238	345	234	227	403	466	320	266	260	294	411	200	396	316	296	497	282	326	314
YNL126W	108	87	80	78	124	108	42	110	94	103	60	76	80	94	64	87	117	38	99	87	76	79	73	95	52	82	144	94	79	56	96	58	147	128	78	68	74	69	106	85	102	107	77	54	91	139	61	92	43	103	27	69	118	98	57	38	72	91	53	100	46	125	184	105	113	166	74	115	150	74	78	112	98	47	92	75	82	74	43	30	57	76	109	114	78	64	25	87	62	102	50	104	211	83	67	63
YNL127W	291	229	299	223	292	285	133	258	278	288	147	281	217	324	185	298	376	113	270	190	215	267	255	246	133	314	338	230	252	208	236	234	390	346	261	240	231	245	265	223	274	250	251	210	294	422	190	339	132	244	101	180	241	260	204	101	177	246	166	191	122	247	365	242	177	272	223	250	242	193	151	297	225	132	182	143	206	132	171	113	156	256	346	274	180	164	145	231	139	260	160	181	394	201	197	158
YNL128W	54	31	36	30	52	51	29	47	56	30	29	39	35	33	29	15	43	24	46	27	45	41	34	31	16	24	52	34	36	27	34	17	54	29	36	43	28	55	60	33	39	46	31	29	40	44	37	38	17	18	17	21	18	28	9	7	17	15	30	33	15	33	49	17	22	29	24	21	24	18	16	26	19	15	23	30	23	25	11	10	9	33	26	20	15	25	10	29	11	32	19	28	29	14	22	18
YNL129W	139	113	128	117	98	133	90	126	125	99	87	96	106	117	85	123	186	74	126	80	89	112	108	93	86	159	198	140	110	101	124	99	214	156	123	107	89	107	129	108	127	141	125	107	77	173	74	158	39	52	50	60	77	85	78	40	91	73	72	70	47	80	117	64	73	75	84	85	66	57	65	130	73	45	74	76	46	72	56	45	49	96	122	89	82	73	39	74	59	94	89	67	141	66	85	46
YNL130C	462	333	466	390	397	396	350	448	537	376	355	435	373	429	343	398	594	292	390	274	348	432	413	350	323	495	507	451	314	400	393	402	682	511	371	415	359	435	407	400	461	429	398	333	674	595	352	478	203	267	211	272	331	365	270	177	308	324	301	279	241	402	458	270	285	380	330	298	343	280	265	474	290	238	282	359	271	286	327	206	190	370	430	369	254	242	224	384	213	419	266	268	550	277	334	251
YNL130C-A	3	2	2	1	4	3	2	5	2	0	2	0	2	0	0	0	1	5	5	2	0	1	3	2	4	2	2	3	3	2	1	1	1	2	1	2	4	3	4	0	2	4	3	0	5	1	1	3	1	0	3	1	1	1	1	0	2	2	0	1	1	7	6	0	2	6	1	3	1	4	0	3	1	0	1	1	2	1	1	1	0	3	1	1	1	1	0	0	0	6	0	1	3	3	3	1
YNL131W	795	619	703	667	850	763	466	742	843	675	580	577	682	750	521	680	1109	411	781	494	518	615	648	553	462	767	994	775	623	530	668	548	1108	869	644	613	492	730	754	607	734	755	650	535	691	1096	506	868	380	633	368	519	637	817	575	374	688	620	625	656	387	766	1160	562	693	840	656	692	949	551	557	958	592	484	681	648	499	628	575	459	461	777	905	725	619	626	297	686	470	865	601	631	1150	612	568	570
YNL132W	260	366	324	236	227	362	173	335	301	326	188	242	278	422	234	291	521	135	238	318	227	214	263	270	184	298	530	422	184	224	360	281	476	327	247	253	212	263	264	274	399	328	287	167	230	369	222	381	182	587	166	504	619	324	275	311	243	418	304	581	182	375	726	539	642	577	338	747	585	511	282	421	624	173	612	346	496	456	331	164	387	354	432	741	370	187	217	786	241	838	293	567	1212	524	351	397
YNL133C	137	72	100	94	182	93	37	94	85	93	60	92	76	107	69	113	130	28	109	55	54	98	80	74	36	110	110	96	92	48	93	67	159	116	110	67	55	77	114	80	81	101	79	58	278	145	58	140	24	49	23	35	58	58	28	27	46	40	45	55	33	139	107	46	48	119	53	58	95	47	46	101	55	34	44	44	39	60	37	20	34	60	81	64	46	51	17	60	30	54	43	53	86	44	36	30
YNL134C	605	387	467	447	583	526	424	537	542	462	408	502	527	435	325	402	698	451	647	332	388	470	492	401	416	575	576	478	422	405	414	384	885	620	467	558	376	481	544	402	458	498	418	380	466	722	478	547	825	825	784	774	945	1306	919	527	1134	901	1227	792	828	1092	1202	740	802	1183	1055	907	1107	811	779	1711	867	836	896	919	610	701	1122	940	714	1361	1574	914	874	1015	1013	1068	683	1206	1055	788	1364	882	1080	878
YNL135C	3904	3303	3779	2893	3868	3305	3485	3180	3942	2974	2775	3241	3281	3381	2616	2729	5529	3230	3959	2310	2892	2979	3234	2693	3076	3432	4193	3449	2723	3404	2805	3314	5326	3860	3066	4111	2499	3819	3132	3038	3140	3539	2744	2751	3396	4307	3279	3598	1747	2106	2063	2385	2410	2904	2319	1534	2184	1981	2607	2238	2025	2922	3501	1998	2119	3403	2600	2474	3318	2222	1836	3235	2220	2090	2808	3468	1665	2866	3351	2362	2063	3111	3169	2660	1873	2002	2141	3116	1605	3255	2277	2340	3629	2234	2648	2554
YNL136W	688	539	576	549	1172	685	350	655	680	578	458	512	568	780	422	690	879	342	692	419	531	587	603	541	344	657	934	729	702	469	659	550	1143	947	624	620	436	658	739	519	621	720	557	471	2749	1110	372	701	190	305	187	316	410	479	316	183	419	322	315	345	226	830	831	365	428	778	383	412	723	306	341	550	356	238	364	307	333	311	300	238	253	404	553	469	391	295	167	418	177	560	325	330	774	312	331	307
YNL137C	405	290	348	272	511	392	271	435	426	366	290	308	339	391	264	304	468	323	436	238	249	317	323	309	264	384	528	345	356	303	349	293	600	449	331	401	249	316	405	309	362	344	323	263	986	484	288	424	203	355	229	332	427	429	290	194	358	380	348	353	263	571	666	349	367	633	401	426	603	369	314	482	407	236	390	356	324	355	377	239	274	392	510	416	331	265	215	452	220	511	312	366	734	325	344	307
YNL138W	1908	1369	1768	1322	1542	1722	1270	1525	1697	1489	1267	1558	1588	1581	1114	1319	2418	1289	1630	1147	1275	1375	1621	1339	1235	1685	1926	1589	1222	1538	1358	1503	2835	2194	1549	1519	1268	1560	1493	1314	1578	1409	1148	1303	2268	2359	1266	1751	909	1042	883	1070	1167	1425	1162	599	1193	1192	1218	972	906	1897	1504	1028	909	1353	1349	1274	1322	1011	930	1990	1119	956	1024	1175	924	1038	1332	962	909	1543	1914	1264	1101	1061	1144	1388	803	1586	1158	908	1865	1176	1524	977
YNL138W-A	187	117	196	131	81	116	211	115	201	137	110	147	172	145	117	89	196	217	187	104	168	137	147	118	134	147	171	143	107	179	105	175	193	161	132	204	123	219	153	143	137	147	135	120	56	202	138	145	79	84	125	107	83	108	89	48	71	72	135	96	53	64	105	74	62	75	115	115	65	97	67	123	76	80	111	113	63	114	132	101	79	123	120	77	80	90	131	165	61	134	86	94	119	96	117	100
YNL139C	356	309	298	228	413	407	232	307	324	303	212	332	309	362	253	342	484	150	343	238	234	300	364	278	174	356	415	300	254	215	307	252	551	442	308	287	255	284	342	233	354	302	262	210	522	525	224	383	183	376	155	270	362	372	257	138	295	291	263	303	172	451	451	307	291	345	388	346	400	243	209	442	342	199	253	73	290	101	205	172	206	358	470	388	288	229	185	360	211	435	247	261	680	284	227	215
YNL140C	3	0	1	3	3	4	2	8	7	1	2	6	5	1	1	3	1	1	3	1	2	4	4	1	3	4	3	8	4	5	6	5	7	6	4	6	3	4	4	3	4	0	1	3	2	4	5	3	0	1	0	3	4	2	3	1	3	3	1	2	1	2	1	3	0	1	1	4	2	0	1	3	3	1	4	5	1	3	1	1	2	3	2	3	3	1	0	4	0	3	0	2	2	1	4	2
YNL141W	272	260	298	229	230	285	156	257	278	244	165	224	270	305	203	228	421	174	222	198	192	204	218	228	168	242	383	272	170	272	277	217	406	328	220	224	194	282	260	216	288	271	225	167	338	327	158	289	250	646	334	621	696	426	362	385	357	527	393	599	240	370	824	591	678	644	478	841	611	610	350	380	735	261	791	526	606	725	488	273	448	546	639	870	447	231	339	969	286	1035	386	633	1312	700	531	574
YNL142W	213	113	151	151	152	208	190	189	192	163	156	172	164	154	124	131	218	238	227	98	158	138	181	158	194	205	232	146	106	167	153	111	301	183	149	253	135	152	177	121	132	165	108	120	121	247	188	138	81	94	91	104	86	119	93	79	82	90	119	100	75	40	122	91	123	92	91	100	91	111	78	199	105	66	114	71	80	76	107	97	63	118	117	115	69	68	109	152	65	149	94	112	177	115	121	113
YNL143C	38	16	42	27	42	29	32	30	32	20	27	28	25	28	23	35	37	30	27	16	21	37	18	26	29	33	31	35	19	30	18	38	46	30	27	30	21	32	32	28	21	26	23	26	14	41	35	43	15	23	20	18	17	25	13	8	12	15	16	15	13	23	26	18	19	21	20	20	28	18	17	27	12	11	25	19	13	11	12	13	10	20	24	14	11	23	17	20	7	19	20	11	16	11	17	16
YNL144C	755	397	567	521	841	652	492	720	557	656	414	558	681	551	383	421	731	703	728	335	544	528	508	432	452	588	786	414	456	414	562	441	918	678	510	873	415	542	765	423	455	607	321	348	1801	924	584	519	496	821	749	769	904	876	640	530	859	769	810	887	475	1424	1468	782	731	1338	898	916	1343	779	605	873	791	474	976	660	646	636	919	590	649	1006	1168	913	717	570	748	1178	541	1103	851	789	1547	634	1008	904
YNL145W	517	175	481	409	1190	410	269	642	465	414	372	329	408	351	315	352	330	237	543	265	345	435	263	493	326	507	663	563	611	273	469	367	736	558	501	497	243	427	668	390	352	665	394	311	1197	626	343	543	285	834	483	901	873	787	590	495	881	700	623	1247	410	2116	2673	835	1116	2939	872	951	2235	1003	836	725	783	480	1084	707	631	907	866	382	592	779	764	1166	768	449	267	974	558	1147	651	1031	1575	616	631	687
YNL146C-A	57	29	50	49	70	44	27	56	60	41	48	47	43	55	51	49	54	17	67	34	33	46	29	52	22	46	59	49	59	33	45	35	96	61	52	57	39	52	66	49	51	55	58	31	28	80	24	71	18	16	12	36	27	32	29	7	28	38	18	36	16	61	68	33	30	52	25	26	25	32	29	39	23	22	26	51	22	38	18	15	16	36	35	28	19	22	11	29	15	31	22	34	64	20	31	18
YNL146W	69	27	54	48	181	54	28	52	57	53	37	38	45	39	38	35	45	40	58	38	45	50	32	30	40	60	73	39	60	49	44	18	81	70	32	55	41	71	65	54	53	52	59	47	330	89	34	52	9	13	5	7	14	21	6	3	13	12	15	11	13	92	42	10	19	60	16	18	56	11	20	32	18	17	18	23	19	12	6	8	3	19	31	12	11	12	11	15	9	15	12	16	24	8	8	9
YNL147W	440	302	374	321	188	357	269	480	452	348	308	308	349	362	297	294	518	266	463	255	311	359	319	306	237	432	511	413	287	278	343	296	580	451	367	403	281	400	433	352	326	450	344	303	115	488	297	437	120	205	165	203	229	297	213	151	204	199	240	257	157	152	259	198	261	153	257	268	150	235	226	247	178	181	276	398	137	322	173	129	159	256	276	262	203	197	130	241	128	326	225	254	347	200	192	210
YNL148C	493	459	372	351	470	482	363	434	461	365	355	396	392	449	302	286	650	384	518	310	341	339	386	305	348	434	580	403	263	335	371	355	732	506	410	548	292	475	456	343	388	443	344	337	913	644	395	408	153	213	178	171	215	289	176	119	178	180	214	189	162	296	278	193	198	274	217	214	245	205	156	266	188	135	235	267	163	214	232	198	131	227	269	215	174	154	158	269	117	265	211	168	340	193	241	215
YNL149C	785	880	741	639	651	774	566	730	868	645	534	634	677	881	518	697	1265	513	776	563	623	659	665	549	485	780	999	743	651	614	744	669	1109	885	635	781	568	793	747	704	785	732	714	549	490	1073	549	806	347	575	357	505	579	609	419	321	476	486	544	514	404	393	730	520	520	629	512	634	690	471	402	750	522	406	567	856	386	674	432	355	368	603	614	604	443	395	294	682	299	651	476	520	968	405	526	493
YNL151C	543	538	546	479	685	563	362	523	577	512	377	452	563	659	310	450	767	523	495	419	384	401	500	458	404	518	826	569	393	499	483	496	878	621	448	563	368	472	494	454	519	520	429	341	1056	735	414	561	245	550	358	492	554	356	327	371	287	424	431	546	247	651	845	502	547	991	505	728	820	560	351	482	565	266	686	528	467	633	448	296	439	431	600	725	418	234	362	772	262	749	378	602	1137	534	548	554
YNL152W	352	175	277	238	399	276	245	317	310	247	235	248	269	250	217	219	322	306	356	198	241	267	242	239	261	305	348	290	279	223	230	251	462	290	258	312	178	287	304	224	251	320	187	236	603	442	253	270	150	204	181	176	210	274	169	138	228	218	244	221	143	398	382	193	204	361	215	230	308	211	155	278	202	154	211	163	183	169	234	211	123	275	303	221	174	167	164	265	144	288	200	205	362	173	193	211
YNL153C	702	539	705	488	688	596	655	660	747	532	570	528	632	608	530	473	888	722	677	440	544	556	521	535	696	666	863	661	554	664	547	531	1007	682	519	739	420	758	561	591	538	666	571	495	770	745	587	622	380	601	571	639	570	583	514	460	480	505	664	576	402	602	946	537	640	1003	613	678	916	601	480	665	637	464	779	731	443	746	660	489	538	638	666	673	476	374	536	817	380	797	517	727	1010	651	627	683
YNL154C	1400	727	1196	980	1870	1215	998	1339	1187	1188	997	1155	1171	1200	882	1008	1322	1173	1335	827	976	1038	1127	930	1052	1232	1681	1146	1004	1028	1056	1105	2132	1505	1051	1358	851	1249	1223	933	1106	1113	905	932	2661	2030	1019	1245	876	1318	950	1115	1440	1443	1074	813	1174	1244	1326	1244	905	2416	2144	1194	1198	2506	1428	1423	2297	1245	934	1914	1335	875	1398	820	1198	876	1365	997	1097	1418	1899	1503	1126	935	1168	1776	828	1779	1142	1224	2471	1300	1404	1418
